slug,name,definition,category,depth,file,line,snippet,requires,gate
tuple-as-key,Tuple as dict key,a composite natural key built from several fields,language,2,soufiane_prompts/prompts/check_content_quality.py,70,"return (rec.get('type'), rec.get('job_id'), rec.get('country_id'))",dict-basics,indexes records by a four-field identity
fstring-format-spec,Format specifiers,"thousands separators, field width and precision inside f-strings",language,2,soufiane_prompts/prompts/check_quality.py,106,"f""{name:<34} {good:>7,}/{total:<7,} {pct:6.2f}%""",fstring,prints an aligned table of counts and percentages
dict-setdefault,dict.setdefault,"get-or-create, used to group items into lists",language,2,soufiane_prompts/prompts/run_prompts.py,652,"by_file.setdefault(slug, []).append(merged)",dict-basics,groups records by a key in one pass
conditional-expression,Conditional expression,the inline if/else that evaluates to a value,language,2,soufiane_prompts/prompts/build_translation_sources.py,71,rec['prompt'] = f'Job title: {title}\n\n{french}' if title else french,truthiness,chooses between two values without a four-line if block
list-comprehension,List comprehension,building a list from an iterable in one expression,language,2,soufiane_prompts/prompts/run_prompts.py,233,found = [m.strip() for m in _Q_PLAIN.findall(prompt)],for-loop,rewrites an append loop as a comprehension
set-literal-comprehension,Set comprehension and set literals,"a set built inline, used here as the expected-keys spec",language,2,soufiane_prompts/prompts/check_quality.py,17,"WANT = {f'question_{i}' for i in range(1, 6)}",range,builds the set of expected keys instead of listing ten strings
set-operations,Set operations,difference and equality on sets to compare key collections,language,2,soufiane_prompts/prompts/run_prompts.py,880,missing = sorted(set(sidecar) - got),set-literal-comprehension,finds which ids were sent but never came back
generator-expression,Generator expression,a lazy comprehension consumed by sum/any/all,language,2,soufiane_prompts/prompts/run_prompts.py,1027,"return sum(c.get('tokens', 0) for c in pool)",list-comprehension,totals a field across a list without building the list
any-all,any and all,collapsing a sequence of tests to one boolean,language,2,soufiane_prompts/prompts/run_prompts.py,224,if any(v is None for v in out['E'] + out['F']):,generator-expression,rejects a record when any required slot is empty
lambda-sort-key,sorted with a key function,"ordering by a computed value, including a tuple key",language,2,soufiane_prompts/prompts/check_content_quality.py,219,"defects.sort(key=lambda d: (d['record_index'] is None, d['record_index']))",function-def,"sorts records by a field that may be None, without crashing"
generator-yield,Generator function,a function that yields values lazily instead of returning a list,language,2,soufiane_prompts/prompts/run_prompts.py,398,yield obj,function-def,streams records so the whole file never enters memory
yield-tuple,Yielding a pair,a generator that emits value plus position,language,2,soufiane_prompts/prompts/run_prompts.py,460,"yield obj, base",generator-yield,yields each record together with its byte offset
nested-function,Nested function,a helper defined inside the function that uses it,language,2,soufiane_prompts/prompts/run_prompts.py,417,def consume(n):,function-def,defines a local helper that closes over the caller’s variables
exception-tuple,Catching several exception types,one except clause for a group of errors,language,2,soufiane_prompts/prompts/run_prompts.py,634,"except (KeyError, IndexError):",try-except,handles a missing key and a missing index in one clause
raise,raise,signalling an error deliberately,language,2,soufiane_prompts/prompts/run_prompts.py,1201,"raise RuntimeError(f""OPENAI_API_KEY not set"")",try-except,fails loudly on missing configuration instead of continuing
chained-comparison,Chained comparison,a <= x <= b as one expression,language,2,soufiane_prompts/prompts/run_prompts.py,208,if not 1 <= i <= 5:,,range-checks a parsed digit in one comparison
unpacking-in-loop,Unpacking in a for target,binding several names per iteration,language,2,soufiane_prompts/prompts/run_prompts.py,206,"for cat, digit, text in found:",tuple-unpacking,iterates over regex groups without indexing
zip,zip,walking two sequences in lockstep,language,2,soufiane_prompts/prompts/sample_translations.py,103,"for (lbl, ftxt), (_, etxt) in zip(fields(fo), fields(eo)):",for-loop,pairs French and English fields side by side
type-hints,Type annotations,declaring parameter and return types,language,2,soufiane_prompts/prompts/run_prompts.py,465,def ledger_path(slug: str) -> Path:,function-def,annotates a function that takes a str and returns a Path
systemexit,SystemExit,ending the program with a message and a status,language,2,soufiane_prompts/prompts/sample_translations.py,34,raise SystemExit(f'missing: {p}'),raise,aborts a script early when an input file is absent
mutating-while-iterating,Iterating over a copy while mutating,why list(pool) is used before removing from pool,language,2,soufiane_prompts/prompts/run_prompts.py,1101,for ch in list(pool):,for-loop,explains what breaks if the copy is removed
pathlib-path,pathlib.Path,filesystem paths as objects rather than strings,stdlib,1,soufiane_prompts/prompts/run_prompts.py,39,BASE_DIR = Path(__file__).resolve().parent,,builds a path to a sibling file of the script
path-join-operator,Path / operator,joining path segments with /,stdlib,1,soufiane_prompts/prompts/run_prompts.py,511,path = BASE_DIR / rel,pathlib-path,builds a nested output path portably
os-getenv,os.getenv,reading configuration from the environment with a default,stdlib,1,soufiane_prompts/prompts/run_prompts.py,61,"DEFAULT_MODEL = os.getenv('PROMPT_MODEL', 'gpt-4.1-nano')",,makes a setting overridable without editing the file
json-loads-dumps,json.loads / json.dumps,text to Python object and back,stdlib,1,soufiane_prompts/prompts/run_prompts.py,472,led = json.loads(p.read_text(encoding='utf-8')),dict-basics,round-trips a dict through a file
read-write-text,Path.read_text / write_text,whole-file read and write in one call,stdlib,1,soufiane_prompts/prompts/run_prompts.py,491,"ledger_path(led['slug']).write_text(json.dumps(led, indent=2))",pathlib-path,saves a dict as pretty JSON in one line
mkdir-parents,"mkdir(parents, exist_ok)",creating a directory tree without failing when it exists,stdlib,1,soufiane_prompts/prompts/run_prompts.py,490,"LEDGER_DIR.mkdir(parents=True, exist_ok=True)",pathlib-path,creates a nested output folder safely on every run
time-sleep,time.sleep and time.time,"pausing, and measuring elapsed wall clock",stdlib,1,soufiane_prompts/prompts/run_prompts.py,591,time.sleep(interval),,polls something every N seconds and reports elapsed time
datetime-now,datetime.now / isoformat,timestamping records and filenames,stdlib,1,soufiane_prompts/prompts/run_prompts.py,788,datetime.now().isoformat(timespec='seconds'),,stamps a log line with the current time
sys-argv,sys.argv,arguments as the script sees them,stdlib,1,soufiane_prompts/prompts/test_egress_ips.py,24,N = int(sys.argv[1]) if len(sys.argv) > 1 else 40,,takes one optional numeric argument from the command line
glob,glob,listing files by pattern,stdlib,1,soufiane_prompts/prompts/check_quality.py,34,glob.glob('batch_runs/results_*_c*.jsonl'),,collects every result file of a run
file-modes,File modes,r / w / a / rb / r+b and what each does to existing content,stdlib,2,soufiane_prompts/prompts/run_prompts.py,758,"with open(out_path, 'a', encoding='utf-8') as f:",context-manager,appends to a file without truncating it
encoding-explicit,Explicit encoding,always passing encoding=utf-8 rather than the platform default,stdlib,2,soufiane_prompts/prompts/run_prompts.py,360,"open(path, 'r', encoding='utf-8')",context-manager,explains what breaks on Windows without it
json-ensure-ascii,json.dumps(ensure_ascii=False),keeping accented text readable instead of escaped,stdlib,2,soufiane_prompts/prompts/run_prompts.py,553,"f.write(json.dumps(req, ensure_ascii=False) + '\n')",json-loads-dumps,writes French text to JSONL without \u escapes
jsonl-format,JSON Lines,"one JSON object per line, appendable and streamable",stdlib,2,soufiane_prompts/prompts/run_prompts.py,660,"f.write(json.dumps(rec, ensure_ascii=False) + '\n')",json-loads-dumps,writes and re-reads a file of one record per line
re-compile-findall,re.compile and findall,a precompiled pattern applied to text,stdlib,2,soufiane_prompts/prompts/run_prompts.py,174,_Q_LETTERED = re.compile(r'❖ Question\s*([EF])\s*(\d)\s*:\s*(.+)'),,extracts every match of a pattern from a block of text
re-groups,Regex capture groups,pulling named pieces out of a match,stdlib,2,soufiane_prompts/prompts/check_quality.py,35,"int(re.search(r'_c(\d+)\.jsonl$', s).group(1))",re-compile-findall,pulls the chunk number out of a filename
argparse,argparse,a real command-line interface with typed options,stdlib,2,soufiane_prompts/prompts/run_prompts.py,1144,"ap.add_argument('--limit', type=int, default=50)",,gives a script --limit and --dry-run with defaults
argparse-store-true,Boolean flags,action=store_true for on/off switches,stdlib,2,soufiane_prompts/prompts/run_prompts.py,1170,"ap.add_argument('--submit', action='store_true')",argparse,adds a flag that changes behaviour when present
collections-counter,collections.Counter,counting occurrences and reporting the most common,stdlib,2,soufiane_prompts/prompts/run_prompts.py,917,dict(Counter(e[1] for e in st['errors'])),dict-basics,tallies error codes and prints the top few
hashlib-digest,hashlib,a content hash used to compare two texts cheaply,stdlib,2,soufiane_prompts/prompts/check_content_quality.py,120,hashlib.md5('\n'.join(qs).encode('utf-8')).hexdigest(),,compares ten questions by one hash instead of ten strings
uuid-hex,uuid4,a unique tag so two runs cannot collide,stdlib,2,soufiane_prompts/prompts/run_prompts.py,481,'run_tag': uuid.uuid4().hex[:8],,names a run so a restart never reuses old names
stat-size,Path.stat().st_size,the current byte length of a file,stdlib,2,soufiane_prompts/prompts/run_prompts.py,870,ch['out_offset'] = out_path.stat().st_size,pathlib-path,records how long a file was before appending to it
random-sample,random.sample and seed,a reproducible random subset,stdlib,2,soufiane_prompts/prompts/sample_translations.py,67,"picked = random.sample(en_recs, n)",,draws 100 records reproducibly for review
os-environ-setdefault,os.environ.setdefault,setting a variable only when it is not already set,stdlib,2,soufiane_prompts/prompts/run_prompts.py,53,"os.environ.setdefault(key.strip(), value.strip())",os-getenv,makes the real environment win over the .env file
closure-nonlocal,nonlocal closure state,an inner function mutating the outer function’s variables,language,3,soufiane_prompts/prompts/run_prompts.py,419,"nonlocal buf, base",nested-function,writes a helper that advances a cursor its caller owns
reraise,Bare raise,re-raising the exception you did not handle,language,3,soufiane_prompts/prompts/run_prompts.py,963,raise,try-except,handles one error class and lets every other one through
star-unpacking,Star unpacking,splatting a sequence into positional arguments,language,3,soufiane_prompts/prompts/run_prompts.py,612,rel_path = Path(*rel_path.parts[1:]),tuple-unpacking,rebuilds a path with its first segment dropped
dict-copy-override,"dict(x, key=value)",a copy with one field added or replaced,language,3,soufiane_prompts/prompts/run_prompts.py,788,"payload = dict(payload, ts=now)",dict-basics,adds a timestamp without mutating the caller’s dict
import-side-effects,Import-time side effects,why env vars must be set before the import that reads them,language,3,soufiane_prompts/prompts/run_translation.py,35,"import run_prompts  # noqa: E402  (import after env is set, on purpose)",module-import,explains why moving the import up breaks the run
optional-dependency,Optional dependency fallback,"try to import, degrade gracefully when absent",stdlib,3,soufiane_prompts/prompts/run_prompts.py,341,try: import tiktoken ... except Exception: def count_tokens(t): return len(t)//3,try-except,keeps working when a library is not installed
json-raw-decode,JSONDecoder.raw_decode,decoding one object off the front of a buffer,stdlib,3,soufiane_prompts/prompts/run_prompts.py,388,"obj, idx = decoder.raw_decode(buf)",json-loads-dumps,parses a 2GB JSON array one object at a time
file-seek-truncate,seek / truncate,positioning inside a file and cutting it back,stdlib,3,soufiane_prompts/prompts/run_prompts.py,984,f.truncate(mark),file-modes,rewinds a half-written output file to a known good mark
incremental-utf8-decode,Incremental UTF-8 decoding,decoding a byte stream that splits characters across reads,stdlib,4,soufiane_prompts/prompts/run_prompts.py,413,utf8 = codecs.getincrementaldecoder('utf-8')(),file-modes,tracks byte offsets while reading text safely
threadpool-executor,ThreadPoolExecutor,running blocking IO concurrently with a worker pool,stdlib,3,soufiane_prompts/prompts/test_egress_ips.py,42,"with cf.ThreadPoolExecutor(10) as ex: results = list(ex.map(fn, range(N)))",context-manager,fires N independent network calls in parallel
http-client-tls,http.client over TLS,a raw HTTPS request without a client library,stdlib,3,soufiane_prompts/prompts/test_egress_ips.py,29,"http.client.HTTPSConnection(HOST, 443, context=ssl.create_default_context())",,makes an HTTPS GET from the standard library alone
socket-getsockname,socket.getsockname,which local interface a connection actually used,stdlib,4,soufiane_prompts/prompts/test_egress_ips.py,34,local = conn.sock.getsockname()[0],http-client-tls,proves which interface traffic left from
streaming-parser,Streaming parser,consuming a huge structured file without loading it,pattern,4,soufiane_prompts/prompts/run_prompts.py,350,"def stream_records(path: Path, limit: int):","generator-yield,json-raw-decode",streams a 2GB JSON array in constant memory
resumable-cursor,Resumable byte cursor,storing a byte offset so work resumes without rescanning,pattern,4,soufiane_prompts/prompts/run_prompts.py,402,"yield obj, base  # absolute byte position just past this record",streaming-parser,"restarts a job at record 40,000 without re-reading the file"
checkpoint-ledger,Checkpoint ledger,"a durable record of what is done, in flight and next",pattern,4,soufiane_prompts/prompts/run_prompts.py,469,"{'next_index': 0, 'byte_offset': 0, 'completed': 0, 'chunks': []}",json-loads-dumps,survives a kill -9 and resumes exactly where it stopped
write-ahead-intent,Write-ahead intent,recording the intent to act before acting,pattern,5,soufiane_prompts/prompts/run_prompts.py,1086,"ch = {..., 'status': 'pending_submit'}; save_ledger(led)",checkpoint-ledger,"can tell ""never sent"" from ""sent, answer lost"""
reconciliation,Reconciliation,asking the remote system what is true before acting again,pattern,5,soufiane_prompts/prompts/run_prompts.py,991,"b = find_batch_by_run_name(client, run_name)",write-ahead-intent,adopts work already accepted instead of resending it
idempotent-append,Idempotent append,a retry that cannot duplicate rows,pattern,5,soufiane_prompts/prompts/run_prompts.py,977,if ch['status'] == 'merging': f.truncate(mark),"file-seek-truncate,checkpoint-ledger",re-runs a half-finished merge and gets the same file
bounded-worker-pool,Bounded worker pool,"a fixed number of jobs alive, refilled as each lands",pattern,4,soufiane_prompts/prompts/run_prompts.py,1099,while pool: ... fill(),for-loop,keeps exactly N jobs in flight until the work is done
admission-control,Admission control,pacing new work against a shared resource budget,pattern,5,soufiane_prompts/prompts/run_prompts.py,1083,if pool and enqueued() + est > token_budget: return,bounded-worker-pool,declines to start work that would exceed a quota
monotonic-frontier,Monotonic frontier,a cursor that only ever moves forward,pattern,4,soufiane_prompts/prompts/run_prompts.py,969,if ch['start_index'] + n_read > led['next_index']:,checkpoint-ledger,stops a retried old chunk from rewinding progress
deterministic-rebuild,Deterministic rebuild,recomputing a span instead of storing it,pattern,4,soufiane_prompts/prompts/run_prompts.py,1005,"_r, _s, off_after, n_read, _b, _t = build_chunk(...)",function-def,recovers lost state by replaying a pure function
correlation-id,Correlation ID,an id that ties a request to its answer across systems,pattern,3,soufiane_prompts/prompts/run_prompts.py,523,"custom_id = f""{slug}__{i}""",fstring,matches an async response back to the record that caused it
sidecar-file,Sidecar file,out-of-band data kept beside a job for the merge step,pattern,3,soufiane_prompts/prompts/run_prompts.py,955,"(BATCH_DIR / f""sidecar_{run_name}.json"").write_text(...)",json-loads-dumps,keeps the original records so a later process can merge
manifest-mapping,Manifest,a slug-to-path map so outputs mirror inputs,pattern,3,soufiane_prompts/prompts/run_prompts.py,516,"manifest[slug] = rel.replace('\\', '/')",dict-basics,reproduces the input folder tree in the output tree
staging-directory,Staging directory,an intermediate tree that is an implementation detail,pattern,3,soufiane_prompts/prompts/run_prompts.py,611,if rel_path.parts[0] == 'translate_src': rel_path = Path(*rel_path.parts[1:]),path-join-operator,keeps a prep folder out of the delivered output
two-pass-index,Two-pass index then compare,"build a lookup in pass one, grade in pass two",pattern,3,soufiane_prompts/prompts/check_content_quality.py,107,"src[k] = (i, qh, qs)",dict-basics,compares two large files without nested loops
normalize-before-compare,Normalization before comparison,stripping known artifacts so equal things compare equal,pattern,3,soufiane_prompts/prompts/check_content_quality.py,51,"s = str(s).replace('\\', ''); return ' '.join(s.split()).strip()",string-methods,stops escaped apostrophes counting as a mismatch
upsert-by-key,Upsert by natural key,"replace where the key exists, append where it does not",pattern,3,soufiane_prompts/prompts/splice_regen.py,42,if k in new: fout.write(json.dumps(new[k])) else: fout.write(line),tuple-as-key,splices regenerated rows into an unordered output file
structured-logging,Structured logging,machine-readable event lines instead of prose,pattern,3,soufiane_prompts/prompts/run_prompts.py,785,"log_event({'event': 'results_received', ...})",jsonl-format,logs every batch outcome in a form you can query later
run-tag-namespacing,Run tag namespacing,tagging a run so a restart cannot collide with the old one,pattern,4,soufiane_prompts/prompts/run_prompts.py,481,'run_tag': uuid.uuid4().hex[:8],uuid-hex,restarts chunk numbering without name collisions
env-override-config,Environment-override config,"defaults in code, overridable per run without edits",pattern,2,soufiane_prompts/prompts/run_translation.py,24,os.environ['PROMPT_SYSTEM'] = 'Translate this French ...',os-getenv,turns one script into two runs with different behaviour
thin-wrapper,Thin wrapper entry point,a second entry point that configures and delegates,pattern,3,soufiane_prompts/prompts/run_translation.py,42,run_prompts.main(),import-side-effects,adds a variant run without forking the orchestrator
dry-run,Dry run,building everything except the irreversible call,pattern,2,soufiane_prompts/prompts/run_prompts.py,1246,if args.dry_run or not args.submit:,argparse-store-true,lets you inspect the payload before spending money
fail-safe-default,Fail-safe default,"on anything unexpected, fall back to the safe behaviour",failure,3,soufiane_prompts/prompts/run_prompts.py,203,if len(found) != 10: return None,none-checks,returns None rather than pinning a wrong value
partial-failure-accounting,Partial failure accounting,"counting what came back, what errored, what never appeared",failure,4,soufiane_prompts/prompts/run_prompts.py,776,"return {'written': .., 'failed': .., 'missing': ..}",set-operations,reports three outcomes per batch instead of a success count
poison-record-isolation,Poison record isolation,logging the individual records that failed instead of failing the job,failure,3,soufiane_prompts/prompts/run_prompts.py,882,"with open(BASE_DIR / 'MISSING_records.txt', 'a') as fh:",file-modes,"records the ids that produced nothing, for regeneration"
retry-queue,Retry before advancing,failed work is retried before new work is started,failure,4,soufiane_prompts/prompts/run_prompts.py,1061,"retry = next((c for c in led['chunks'] if c['status'] == 'failed'), None)",bounded-worker-pool,never leaves a failed chunk behind the frontier
error-string-matching,Classifying an error by message,retrying only the errors that are retryable,failure,3,soufiane_prompts/prompts/run_prompts.py,960,if 'token_limit_exceeded' in str(e):,"try-except,reraise",backs off on a quota error and crashes on a real one
silent-truncation,Silent truncation detection,catching a success response that was actually cut off,failure,3,soufiane_prompts/prompts/run_prompts.py,911,if st['finish'].get('length'):,dict-get-default,notices output that hit the token ceiling
counter-drift-check,Counter drift check,verifying the bookkeeping against what is on disk,failure,3,soufiane_prompts/prompts/check_quality.py,125,if rows != _led['completed']: print('COUNTER DRIFT'),checkpoint-ledger,proves the ledger and the output file agree
duplicate-detection,Duplicate detection,proving no id was processed twice,failure,2,soufiane_prompts/prompts/check_quality.py,50,if cid in seen: dup += 1,set-operations,asserts that every id appears exactly once
stale-artifact-guard,Stale artifact guard,refusing to grade files a later run superseded,failure,4,soufiane_prompts/prompts/check_quality.py,31,DONE = {c['chunk'] for c in _led['chunks'] if c['status'] == 'done'},checkpoint-ledger,only grades results the ledger still considers current
no-output-file-guard,Missing-output guard,"a job that ""completed"" while every request inside it failed",failure,4,soufiane_prompts/prompts/run_prompts.py,840,if not batch.output_file_id:,none-checks,marks the chunk failed instead of crashing on None
batch-api,Batch API lifecycle,"upload, create, poll, download as an async job",api,3,soufiane_prompts/prompts/run_prompts.py,548,"batch = client.batches.create(input_file_id=up.id, ...)",json-loads-dumps,submits work and collects it later instead of blocking
file-upload-purpose,File upload with purpose,uploading a JSONL payload the provider will consume,api,3,soufiane_prompts/prompts/run_prompts.py,557,"up = client.files.create(file=f, purpose=""batch"")",file-modes,uploads the request file and uses the returned id
batch-metadata,Job metadata tagging,stamping a job so it can be found again later,api,3,soufiane_prompts/prompts/run_prompts.py,564,"metadata={""run_name"": run_name}",dict-basics,finds a submitted job when local state was lost
error-file,Error file vs output file,a finished job with only errors and no output,api,3,soufiane_prompts/prompts/run_prompts.py,844,client.files.content(batch.error_file_id),no-output-file-guard,reads the provider’s own words for why it failed
structured-outputs,Structured Outputs,forcing the model to emit an exact JSON shape,api,3,soufiane_prompts/prompts/run_prompts.py,308,"{'type': 'json_schema', 'json_schema': {'strict': True, ...}}",json-loads-dumps,makes a malformed or extra-key response impossible
json-schema-strict,Strict schema,required plus additionalProperties=false as the contract,api,3,soufiane_prompts/prompts/run_prompts.py,111,"{'type': 'object', 'properties': props, 'required': req, 'additionalProperties': False}",structured-outputs,writes a schema that permits exactly ten fields
enum-pinning,Enum pinning,constraining a field to one exact allowed string,api,4,soufiane_prompts/prompts/run_prompts.py,267,"props[f'question_{i}'] = {'type': 'string', 'enum': [questions[i-1]]}",json-schema-strict,makes an invented question impossible rather than discouraged
constrained-decoding-artifact,Constrained decoding artifact,a backslash in an enum silently truncating generation,api,4,soufiane_prompts/prompts/run_prompts.py,222,"text = text.replace(""\\'"", ""'"")",enum-pinning,explains why the escape had to be stripped before pinning
token-budget,Enqueued token budget,a provider cap counted across all live jobs,api,4,soufiane_prompts/prompts/run_prompts.py,339,DEFAULT_TOKEN_BUDGET = 1_900_000,admission-control,sizes concurrency by tokens rather than job count
max-completion-tokens,Output token ceiling,"the cap that truncates a long answer, reported as success",api,2,soufiane_prompts/prompts/run_translation.py,33,"os.environ.setdefault('PROMPT_MAX_TOKENS', '4500')",silent-truncation,picks a ceiling from measured output length
sampling-determinism,temperature / top_p / seed,the knobs that make generation repeatable,api,2,soufiane_prompts/prompts/run_prompts.py,62,"TEMPERATURE = float(os.getenv('PROMPT_TEMPERATURE', '0.0'))",os-getenv,explains what each of the three does to output
system-vs-user-message,System vs user message,role separation between standing rules and the task,api,2,soufiane_prompts/prompts/run_prompts.py,531,"{""role"": ""system"", ""content"": SYSTEM_PROMPT}",dict-basics,puts the invariant rules where they belong
token-counting,Token counting,measuring cost and budget before sending,api,3,soufiane_prompts/prompts/run_prompts.py,343,_ENC = tiktoken.get_encoding('o200k_base'),optional-dependency,estimates a request’s token cost before submitting it
provider-limits,Provider hard limits,requests-per-batch and payload-size caps the client must respect,api,3,soufiane_prompts/prompts/run_prompts.py,326,MAX_BATCH_REQUESTS = 50_000; MAX_BATCH_BYTES = 180 * 1024 * 1024,,sizes a chunk so the provider can never reject it for size
ip-allowlist-401,IP allowlist rejection,401 ip_not_authorized from an unstable egress address,api,3,soufiane_prompts/prompts/IP_INCIDENT_EVIDENCE.ipynb,8,code='ip_not_authorized' | HTTP 401,,diagnoses intermittent auth failures from one machine
orchestrator,Orchestrator,"the loop that owns chunking, sending, collecting and resuming",arch,5,soufiane_prompts/prompts/run_prompts.py,819,"def orchestrate(client, rel, target, chunk_size, model, interval, concurrency, token_budget):","bounded-worker-pool,checkpoint-ledger",writes the driver that keeps a long job moving unattended
pipeline-stages,Named pipeline stages,"loader, builder, submit, poll, merge, output as separate steps",arch,4,soufiane_prompts/prompts/run_prompts.py,10,(1) LOADER (2) BUILDER (3) SUBMIT (4) POLL (5) DOWNLOAD (6) MERGER (7) OUTPUT,function-def,names each stage and what it hands to the next
ledger-source-of-truth,Ledger as source of truth,"local state that is reconciled against the remote, never assumed",arch,5,soufiane_prompts/prompts/run_prompts.py,464,"def load_ledger(slug, rel) -> dict:","checkpoint-ledger,reconciliation",says which system wins when the two disagree
output-tree-mirroring,Output tree mirroring,output paths derived from input paths,arch,3,soufiane_prompts/prompts/run_prompts.py,602,"out = OUT_DIR / rel_path.parent / f""{rel_path.stem}_output.json""",path-join-operator,writes results into the same shape as the inputs
module-as-library,Module used as a library,a script that is also imported by its own checkers,arch,3,soufiane_prompts/prompts/check_quality.py,14,import run_prompts as rp,name-main,reuses the extractor in the checker so the two cannot drift
quality-gate,Quality gate,a separate program whose only job is to prove the data is right,arch,3,soufiane_prompts/prompts/check_quality.py,1,Quality gate for the profile_ville run,two-pass-index,writes a checker that fails loudly on a defect
evidence-artifact,Evidence artifact,separating fetched facts from stated inference,arch,3,soufiane_prompts/prompts/IP_INCIDENT_EVIDENCE.ipynb,15,A — FACTS / B — INFERENCE,,writes up an incident so a reader can verify every number
